"","found_taxa","worms_name","verbatim_name","gbif_name","ncbi_name","ncbi_commonname","gbif_usagekey","ncbi_uid","gbif_status","worms_aphiaid","worms_status","freshwater_only","kingdom","phylum","class","order","family","genus","compare_name","in_region"
"54","Salvelinus alpinus erythrinus",NA,"Salvelinus alpinus erythrinus","Salvelinus alpinus erythrinus","Salvelinus alpinus erythrinus","davatchan",6169563,85062,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus erythrinus","no"
"55","Salvelinus levanidovi","Salvelinus levanidovi","Salvelinus levanidovi","Salvelinus levanidovi","Salvelinus levanidovi",NA,2351320,230553,"accepted",274354,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus levanidovi","no"
"56","Salvelinus leucomaenis leucomaenis",NA,"Salvelinus leucomaenis leucomaenis","Salvelinus leucomaenis leucomaenis","Salvelinus leucomaenis leucomaenis",NA,7059129,423369,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus leucomaenis leucomaenis","no"
"57","Salvelinus leucomaenis imbrius",NA,"Salvelinus leucomaenis imbrius","Salvelinus leucomaenis imbrius","Salvelinus leucomaenis imbrius",NA,6169569,423370,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus leucomaenis imbrius","no"
"58","Salvelinus curilus","Salvelinus curilus","Salvelinus curilus","Salvelinus curilus","Salvelinus curilus",NA,2351251,374848,"accepted",1026965,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus curilus","no"
"59","Salmo ischchan","Salmo ischchan","Salmo ischchan","Salmo ischchan","Salmo ischchan",NA,2351641,1035833,"accepted",1019744,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo ischchan","no"
"60","Salmo ischchan gegarkuni",NA,"Salmo ischchan gegarkuni","Salmo ischchan gegarkuni","Salmo ischchan gegarkuni",NA,6169669,2109336,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo ischchan gegarkuni","no"
"61","Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus","Salvelinus alpinus","Arctic char",4284021,8036,"accepted",127188,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus","yes"
"62","Salvelinus kronocius","Salvelinus kronocius","Salvelinus kronocius","Salvelinus kronocius","Salvelinus kronocius",NA,2351295,359312,"accepted",1012527,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus kronocius","no"
"63","Salvelinus alpinus alpinus",NA,"Salvelinus alpinus alpinus","Salvelinus alpinus alpinus","Salvelinus alpinus alpinus",NA,7193472,85061,"synonym",NA,NA,NA,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus alpinus","no"
"64","Salvelinus drjagini","Salvelinus drjagini","Salvelinus drjagini","Salvelinus drjagini","Salvelinus drjagini","Dryanin's char",2351250,152110,"accepted",1014827,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus drjagini","no"
"65","Salmo caspius","Salmo caspius","Salmo caspius","Salmo caspius","Salmo caspius","Caspian trout",4352748,602068,"accepted",305961,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo caspius","no"
"66","Salvelinus schmidti","Salvelinus schmidti","Salvelinus schmidti","Salvelinus schmidti","Salvelinus schmidti",NA,2351325,359311,"accepted",1012591,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus schmidti","no"
"67","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","Chinook salmon",5204024,74940,"accepted",158075,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha","yes"
"68","Salvelinus taranetzi","Salvelinus taranetzi","Salvelinus taranetzi","Salvelinus taranetzi","Salvelinus taranetzi",NA,2351290,152113,"accepted",274355,"accepted",0,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus taranetzi","no"
"69","Salvethymus svetovidovi","Salvethymus svetovidovi","Salvethymus svetovidovi","Salvethymus svetovidovi","Salvethymus svetovidovi","long-finned charr",2351420,152109,"accepted",1011402,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvethymus","Salvethymus svetovidovi","no"
"70","Salvelinus elgyticus","Salvelinus elgyticus","Salvelinus elgyticus","Salvelinus elgyticus","Salvelinus elgyticus","small-mouth char",2351242,152107,"accepted",1012296,"accepted",1,"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus elgyticus","no"
