"","ncbi_species","canonicalname","rank","gbif_status","query","worms_query","worms_sciname","worms_aphiaid","original_aphiaid","worms_match","status","unacceptreason","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","compare_name","in_region"
"65","Salvelinus drjagini","Salvelinus drjagini","species","ACCEPTED","Salvelinus drjagini","Salvelinus+drjagini","Salvelinus drjagini",1014827,1014827,"Salvelinus drjagini","accepted",NA,"Logashev, 1940","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus drjagini","no"
"66","Salmo caspius","Salmo caspius","species","ACCEPTED","Salmo caspius","Salmo+caspius","Salmo caspius",305961,305961,"Salmo caspius","accepted",NA,"Kessler, 1877","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo",0,0,"Salmo caspius","no"
"67","Salvelinus schmidti","Salvelinus schmidti","species","ACCEPTED","Salvelinus schmidti","Salvelinus+schmidti","Salvelinus schmidti",1012591,1012591,"Salvelinus schmidti","accepted",NA,"Viktorovsky, 1978","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus schmidti","no"
"68","Oncorhynchus tshawytscha","Oncorhynchus tshawytscha","species","ACCEPTED","Oncorhynchus tshawytscha","Oncorhynchus+tshawytscha","Oncorhynchus tshawytscha",158075,158075,"Oncorhynchus tshawytscha","accepted",NA,"(Walbaum, 1792)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus",0,0,"Oncorhynchus tshawytscha","yes"
"69","Salvelinus taranetzi","Salvelinus taranetzi","species","ACCEPTED","Salvelinus taranetzi","Salvelinus+taranetzi","Salvelinus taranetzi",274355,274355,"Salvelinus taranetzi","accepted",NA,"Kaganowsky, 1955","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus taranetzi","no"
"70","Salvethymus svetovidovi","Salvethymus svetovidovi","species","ACCEPTED","Salvethymus svetovidovi","Salvethymus+svetovidovi","Salvethymus svetovidovi",1011402,1011402,"Salvethymus svetovidovi","accepted",NA,"Chereshnev & Skopets, 1990","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvethymus",1,0,"Salvethymus svetovidovi","no"
"71","Salvelinus elgyticus","Salvelinus elgyticus","species","ACCEPTED","Salvelinus elgyticus","Salvelinus+elgyticus","Salvelinus elgyticus",1012296,1012296,"Salvelinus elgyticus","accepted",NA,"Viktorovsky & Glubokovsky, 1981","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus elgyticus","no"
"72","Salvelinus boganidae","Salvelinus boganidae","species","ACCEPTED","Salvelinus boganidae","Salvelinus+boganidae","Salvelinus boganidae",1016234,1016234,"Salvelinus boganidae","accepted",NA,"Berg, 1926","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus boganidae","no"
"73","Salvelinus confluentus","Salvelinus confluentus","species","ACCEPTED","Salvelinus confluentus","Salvelinus+confluentus","Salvelinus confluentus",274352,274352,"Salvelinus confluentus","accepted",NA,"(Suckley, 1859)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",0,0,"Salvelinus confluentus","yes"
"74","Salvelinus namaycush","Salvelinus namaycush","species","ACCEPTED","Salvelinus namaycush","Salvelinus+namaycush","Salvelinus namaycush",567548,567548,"Salvelinus namaycush","accepted",NA,"(Walbaum, 1792)","Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus",1,0,"Salvelinus namaycush","no"
