found_taxa,worms_sciname,ncbi_species,gbif_name,rank,gbif_status,query,worms_aphiaid,worms_status,unacceptreason,freshwater_only,kingdom,phylum,class,order,family,genus
Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammos decagrammus,species,ACCEPTED,Hexagrammos decagrammus,240732,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos
Blepsias cirrhosus,Blepsias cirrhosus,Blepsias cirrhosus,Blepsias cirrhosus,species,ACCEPTED,Blepsias cirrhosus,279417,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Blepsias
Blepsias bilobus,Blepsias bilobus,Blepsias bilobus,Blepsias bilobus,species,ACCEPTED,Blepsias bilobus,254540,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Blepsias
Leptocottus armatus,Leptocottus armatus,Leptocottus armatus,Leptocottus armatus,species,ACCEPTED,Leptocottus armatus,254345,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus
Podothecus sachi,Podothecus sachi,Podothecus sachi,Podothecus sachi,species,ACCEPTED,Podothecus sachi,279434,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Podothecus accipenserinus,Podothecus accipenserinus,Podothecus accipenserinus,Podothecus accipenserinus,species,ACCEPTED,Podothecus accipenserinus,254501,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Podothecus sturioides,Podothecus sturioides,Podothecus sturioides,Podothecus sturioides,species,ACCEPTED,Podothecus sturioides,279435,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Tilesina gibbosa,Tilesina gibbosa,Tilesina gibbosa,Tilesina gibbosa,species,ACCEPTED,Tilesina gibbosa,282981,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Tilesina
Pallasina barbata,Pallasina barbata,Pallasina barbata,Pallasina barbata,species,ACCEPTED,Pallasina barbata,254396,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Pallasina
Occella dodecaedron,Occella dodecaedron,Occella dodecaedron,Occella dodecaedron,species,ACCEPTED,Occella dodecaedron,254398,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Occella
Brachyopsis segaliensis,Brachyopsis segaliensis,Brachyopsis segaliensis,Brachyopsis segaliensis,species,ACCEPTED,Brachyopsis segaliensis,279983,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Brachyopsis
Trichocottus brashnikovi,Trichocottus brashnikovi,Trichocottus brashnikovi,Trichocottus brashnikovi,species,ACCEPTED,Trichocottus brashnikovi,254355,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Trichocottus
Triglops scepticus,Triglops scepticus,Triglops scepticus,Triglops scepticus,species,ACCEPTED,Triglops scepticus,254531,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Triglops
Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius,species,ACCEPTED,Pleurogrammus monopterygius,282289,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Pleurogrammus
Chesnonia verrucosa,Chesnonia verrucosa,Chesnonia verrucosa,Chesnonia verrucosa,species,ACCEPTED,Chesnonia verrucosa,254507,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Chesnonia
Leptagonus decagonus,Leptagonus decagonus,Leptagonus decagonus,Leptagonus decagonus,species,ACCEPTED,Leptagonus decagonus,127191,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Leptagonus
Podothecus veternus,Podothecus veternus,Podothecus veternus,Podothecus veternus,species,ACCEPTED,Podothecus veternus,254509,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Podothecus
Sarritor frenatus,Sarritor frenatus,Sarritor frenatus,Sarritor frenatus,species,ACCEPTED,Sarritor frenatus,254374,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Sarritor
Bothragonus occidentalis,Bothragonus occidentalis,Bothragonus occidentalis,Bothragonus occidentalis,species,ACCEPTED,Bothragonus occidentalis,279946,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Bothragonus
Artediellus scaber,Artediellus scaber,Artediellus scaber,Artediellus scaber,species,ACCEPTED,Artediellus scaber,127194,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,species,ACCEPTED,Hemitripterus bolini,254541,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus
Hemitripterus villosus,Hemitripterus villosus,Hemitripterus villosus,Hemitripterus villosus,species,ACCEPTED,Hemitripterus villosus,276257,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus
Arctoscopus japonicus,Arctoscopus japonicus,Arctoscopus japonicus,Arctoscopus japonicus,species,ACCEPTED,Arctoscopus japonicus,279686,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Trichodontidae,Arctoscopus
Occella iburia,Occella iburia,Occella iburia,Occella iburia,species,ACCEPTED,Occella iburia,279436,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Occella
Hypsagonus corniger,Hypsagonus corniger,Hypsagonus corniger,Hypsagonus corniger,species,ACCEPTED,Hypsagonus corniger,279424,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Agonidae,Hypsagonus
Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,Phasmatocottus ctenopterygius,species,ACCEPTED,Phasmatocottus ctenopterygius,282232,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Phasmatocottus
Hemilepidotus spinosus,Hemilepidotus spinosus,Hemilepidotus spinosus,Hemilepidotus spinosus,species,ACCEPTED,Hemilepidotus spinosus,279413,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Hemilepidotus
Cottus czerskii,Cottus czerskii,Cottus czerskii,Cottus czerskii,species,ACCEPTED,Cottus czerskii,1015693,accepted,NA,1,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Cottus poecilopus,Cottus poecilopus,Cottus poecilopus,Cottus poecilopus,species,ACCEPTED,Cottus poecilopus,127197,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Cottus
Hemitripterus americanus,Hemitripterus americanus,Hemitripterus americanus,Hemitripterus americanus,species,ACCEPTED,Hemitripterus americanus,159518,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus
Artediellus uncinatus,Artediellus uncinatus,Artediellus uncinatus,Artediellus uncinatus,species,ACCEPTED,Artediellus uncinatus,127195,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
Artediellus atlanticus,Artediellus atlanticus,Artediellus atlanticus,Artediellus atlanticus,species,ACCEPTED,Artediellus atlanticus,127193,accepted,NA,0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artediellus
