species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Pagurus ochotensis,NA,Species,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,TRUE,FALSE,FALSE,366742,366742,32186,189339
Phronima sedentaria,NA,Species,Arthropoda,Malacostraca,Amphipoda,Phronimidae,Phronima,TRUE,NA,NA,103272,103272,153419,472282
Goniada brunnea,NA,Species,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,TRUE,FALSE,FALSE,240564,240564,205803,397557
Paradiopatra parva,NA,Species,Annelida,Polychaeta,Eunicida,Onuphidae,Paradiopatra,TRUE,FALSE,FALSE,334344,334344,370466,NA
Ameritella modesta,NA,Species,Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,TRUE,NA,NA,878514,878514,786736,NA
Schistomeringos rudolphi,NA,Species,Annelida,Polychaeta,Eunicida,Dorvilleidae,Schistomeringos,TRUE,FALSE,FALSE,154127,154127,NA,188472
Metaphoxus frequens,NA,Species,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Metaphoxus,TRUE,FALSE,FALSE,549068,549068,NA,NA
Diastylopsis dawsoni,NA,Species,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylopsis,TRUE,TRUE,FALSE,182001,182001,499221,NA
Argis lar,NA,Species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,TRUE,FALSE,FALSE,254487,254487,8480,397926
Macoma inquinata,NA,Species,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,TRUE,NA,NA,582759,582759,395172,NA
Solmissus incisa,NA,Species,Cnidaria,Hydrozoa,Narcomedusae,Cuninidae,Solmissus,TRUE,NA,NA,117504,117504,657348,515654
Amphipholis pugetana,NA,Species,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,TRUE,FALSE,FALSE,242878,242878,218635,497676
Micropodarke dubia,NA,Species,Annelida,Polychaeta,Phyllodocida,Hesionidae,Micropodarke,TRUE,FALSE,FALSE,334017,334017,190361,378366
Scyra acutifrons,NA,Species,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,TRUE,FALSE,FALSE,441698,441698,201404,504435
Heterozonias alternatus,NA,Species,Echinodermata,Asteroidea,Valvatida,Solasteridae,Heterozonias,TRUE,FALSE,FALSE,292713,292713,140244,869230
Spiophanes duplex,NA,Species,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,TRUE,FALSE,FALSE,334830,334830,529986,NA
Tubulanus polymorphus,NA,Species,Nemertea,Palaeonemertea,Tubulaniformes,Tubulanidae,Tubulanus,TRUE,NA,NA,122637,122637,370531,672921
Aurelia aurita,NA,Species,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,TRUE,NA,NA,135306,135306,79348,6145
