found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Elassodiscus tremebundus,Elassodiscus tremebundus,accepted,Elassodiscus tremebundus,NA,species,Actinopteri,Perciformes,Liparidae,Elassodiscus,TRUE,FALSE,FALSE,280631,280631,799409,446813,Aleutian Islands
Hexagrammos octogrammus,Hexagrammos octogrammus,accepted,Hexagrammos octogrammus,NA,species,Actinopteri,Perciformes,Hexagrammidae,Hexagrammos,TRUE,FALSE,FALSE,254544,254544,110864,192375,Aleutian Islands
Diaphus theta,Diaphus theta,accepted,Diaphus theta,NA,species,Actinopteri,Myctophiformes,Myctophidae,Diaphus,TRUE,FALSE,FALSE,272694,272694,34004,91653,Aleutian Islands
Melamphaes lugubris,Melamphaes lugubris,accepted,Melamphaes lugubris,NA,species,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,TRUE,FALSE,FALSE,274932,274932,33946,319444,Aleutian Islands
Careproctus cypselurus,Careproctus cypselurus,accepted,Careproctus cypselurus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274421,274421,33967,433400,Aleutian Islands
Sebastolobus altivelis,Sebastolobus altivelis,accepted,Sebastolobus altivelis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastolobus,TRUE,FALSE,FALSE,282741,282741,33887,8110,Aleutian Islands
Lampanyctus jordani,Lampanyctus jordani,accepted,Lampanyctus jordani,NA,species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,272712,272712,717150,517134,Aleutian Islands
Aspidophoroides monopterygius,Aspidophoroides monopterygius,accepted,Aspidophoroides monopterygius,NA,species,Actinopteri,Perciformes,Agonidae,Aspidophoroides,TRUE,FALSE,FALSE,159459,159459,34611,255537,Aleutian Islands
Ruscarius meanyi,Ruscarius meanyi,accepted,Ruscarius meanyi,NA,species,Actinopteri,Perciformes,Cottidae,Ruscarius,TRUE,FALSE,FALSE,282637,282637,NA,459053,Aleutian Islands
Lumpenella longirostris,Lumpenella longirostris,accepted,Lumpenella longirostris,NA,species,Actinopteri,Perciformes,Stichaeidae,Lumpenella,TRUE,FALSE,FALSE,254351,254351,11193,557408,Aleutian Islands
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,accepted,Oncorhynchus gorbuscha,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127182,127182,48257,8017,Aleutian Islands
Triglops pingelii,Triglops pingelii,accepted,Triglops pingelii,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,127207,127207,89115,433391,Aleutian Islands
Liparis gibbus,Liparis gibbus,accepted,Liparis gibbus,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,159526,159526,59638,255718,Aleutian Islands
Oneirodes thompsoni,Oneirodes thompsoni,accepted,Oneirodes thompsoni,NA,species,Actinopteri,Lophiiformes,Oneirodidae,Oneirodes,TRUE,FALSE,FALSE,254554,254554,78113,412658,Aleutian Islands
Mallotus villosus,Mallotus villosus,accepted,Mallotus villosus,NA,species,Actinopteri,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,126735,34580,30960,Aleutian Islands
Elassodiscus caudatus,Elassodiscus caudatus,accepted,Elassodiscus caudatus,NA,species,Actinopteri,Perciformes,Liparidae,Elassodiscus,TRUE,FALSE,FALSE,280629,280629,125651,446812,Aleutian Islands
Bathyraja trachura,Bathyraja trachura,accepted,Bathyraja trachura,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271538,271538,33943,341251,Aleutian Islands
Triglops metopias,Triglops metopias,accepted,Triglops metopias,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274400,274400,NA,NA,Aleutian Islands
Lycodes palearis,Lycodes palearis,accepted,Lycodes palearis,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254585,254585,11375,215425,Aleutian Islands
Oneirodes bulbosus,Oneirodes bulbosus,accepted,Oneirodes bulbosus,NA,species,Actinopteri,Lophiiformes,Oneirodidae,Oneirodes,TRUE,FALSE,FALSE,254553,254553,140403,1154599,Aleutian Islands
Bathyraja lindbergi,Bathyraja lindbergi,accepted,Bathyraja lindbergi,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271517,271517,80067,341245,Aleutian Islands
Triglops macellus,Triglops macellus,accepted,Triglops macellus,NA,species,Actinopteri,Perciformes,Cottidae,Triglops,TRUE,FALSE,FALSE,274399,274399,140470,433386,Aleutian Islands
Coryphaenoides acrolepis,Coryphaenoides acrolepis,accepted,Coryphaenoides acrolepis,NA,species,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272313,272313,33884,83390,Aleutian Islands
Careproctus melanurus,Careproctus melanurus,accepted,Careproctus melanurus,NA,species,Actinopteri,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,254549,254549,33941,274785,Aleutian Islands
Sigmops gracilis,Sigmops gracilis,accepted,Sigmops gracilis,NA,species,Actinopteri,Stomiiformes,Gonostomatidae,Sigmops,TRUE,FALSE,FALSE,279336,279336,172443,48457,Aleutian Islands
Bothrocara zestum,Bothrocara zestum,accepted,Bothrocara zestum,NA,species,Actinopteri,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,1566163,1566163,NA,NA,Aleutian Islands
Sebastes melanostictus,Sebastes melanostictus,accepted,Sebastes melanostictus,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,1015496,1015496,163038,394695,Aleutian Islands
Bathyraja mariposa,Bathyraja mariposa,accepted,Bathyraja mariposa,NA,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271522,271522,80068,341247,Aleutian Islands
Parophrys vetulus,Parophrys vetulus,accepted,Parophrys vetulus,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Parophrys,TRUE,FALSE,FALSE,254393,254393,33893,172659,Aleutian Islands
Allocyttus folletti,Allocyttus folletti,accepted,Allocyttus folletti,NA,species,Actinopteri,Zeiformes,Oreosomatidae,Allocyttus,TRUE,FALSE,FALSE,254555,254555,125492,319752,Aleutian Islands
Leuroglossus stilbius,Leuroglossus stilbius,accepted,Leuroglossus stilbius,NA,species,Actinopteri,Argentiniformes,Bathylagidae,Leuroglossus,TRUE,FALSE,FALSE,313514,313514,71906,301819,Aleutian Islands
Radulinus asprellus,Radulinus asprellus,accepted,Radulinus asprellus,NA,species,Actinopteri,Perciformes,Cottidae,Radulinus,TRUE,FALSE,FALSE,282541,282541,34012,274768,Aleutian Islands
Anarhichas orientalis,Anarhichas orientalis,accepted,Anarhichas orientalis,NA,species,Actinopteri,Perciformes,Anarhichadidae,Anarhichas,TRUE,FALSE,FALSE,254511,254511,110732,479980,Aleutian Islands
Oncorhynchus kisutch,Oncorhynchus kisutch,accepted,Oncorhynchus kisutch,NA,species,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,TRUE,TRUE,127184,127184,23772,8019,Aleutian Islands
Eumicrotremus barbatus,Eumicrotremus barbatus,accepted,Eumicrotremus barbatus,NA,species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254534,254534,NA,1482670,Aleutian Islands
Beringraja binoculata,Beringraja binoculata,accepted,Beringraja binoculata,NA,species,Elasmobranchii,Rajiformes,Rajidae,Beringraja,TRUE,FALSE,FALSE,1021330,1021330,NA,NA,Aleutian Islands
Sebastes jordani,Sebastes jordani,accepted,Sebastes jordani,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274806,274806,10712,72081,Aleutian Islands
Psychrolutes phrictus,Psychrolutes phrictus,accepted,Psychrolutes phrictus,NA,species,Actinopteri,Perciformes,Psychrolutidae,Psychrolutes,TRUE,FALSE,FALSE,274678,274678,59163,320385,Aleutian Islands
Anarrhichthys ocellatus,Anarrhichthys ocellatus,accepted,Anarrhichthys ocellatus,NA,species,Actinopteri,Perciformes,Anarhichadidae,Anarrhichthys,TRUE,FALSE,FALSE,279605,279605,NA,433405,Aleutian Islands
Sebastes brevispinis,Sebastes brevispinis,accepted,Sebastes brevispinis,NA,species,Actinopteri,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274778,274778,10780,72060,Aleutian Islands
Lycodes brevipes,Lycodes brevipes,accepted,Lycodes brevipes,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254595,254595,34010,433387,Aleutian Islands
Paraliparis ulochir,Paraliparis ulochir,accepted,Paraliparis ulochir,NA,species,Actinopteri,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274612,274612,804237,NA,Aleutian Islands
Rhinoliparis attenuatus,Rhinoliparis attenuatus,accepted,Rhinoliparis attenuatus,NA,species,Actinopteri,Perciformes,Liparidae,Rhinoliparis,TRUE,FALSE,FALSE,282584,282584,142497,557365,Aleutian Islands
Poromitra crassiceps,Poromitra crassiceps,accepted,Poromitra crassiceps,NA,species,Actinopteri,Beryciformes,Melamphaidae,Poromitra,TRUE,FALSE,FALSE,127273,127273,34228,88708,Aleutian Islands
Trichodon trichodon,Trichodon trichodon,accepted,Trichodon trichodon,NA,species,Actinopteri,Perciformes,Trichodontidae,Trichodon,TRUE,FALSE,FALSE,283043,283043,34016,209541,Aleutian Islands
Halargyreus johnsonii,Halargyreus johnsonii,accepted,Halargyreus johnsonii,NA,species,Actinopteri,Gadiformes,Moridae,Halargyreus,TRUE,FALSE,FALSE,126489,126489,33964,319453,Aleutian Islands
Nautichthys pribilovius,Nautichthys pribilovius,accepted,Nautichthys pribilovius,NA,species,NA,Scorpaeniformes,Hemitripteridae,Nautichthys,TRUE,FALSE,FALSE,254543,254543,110745,274772,Aleutian Islands
Lycodes akuugun,Lycodes akuugun,accepted,Lycodes akuugun,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,274091,274091,NA,NA,Aleutian Islands
