species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id
Cryptacanthodes giganteus,NA,Species,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276392,276392,125613,433379
Odontopyxis trispinosa,NA,Species,Actinopteri,Perciformes,Agonidae,Odontopyxis,TRUE,FALSE,FALSE,281836,281836,10690,320620
Esox lucius,NA,Species,Actinopteri,Esociformes,Esocidae,Esox,FALSE,TRUE,TRUE,154210,154210,29373,8010
Coregonus clupeaformis,NA,Species,Actinopteri,Salmoniformes,Salmonidae,Coregonus,FALSE,TRUE,TRUE,158726,158726,10571,59861
Pungitius pungitius,NA,Species,Actinopteri,Perciformes,Gasterosteidae,Pungitius,TRUE,TRUE,TRUE,126507,126507,50670,134920
Acipenser transmontanus,NA,Species,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TRUE,TRUE,TRUE,238345,238345,30344,7904
Clinocottus acuticeps,NA,Species,Actinopteri,Perciformes,Cottidae,Clinocottus,TRUE,TRUE,TRUE,280218,280218,125646,459045
Blepsias cirrhosus,NA,Species,NA,Scorpaeniformes,Hemitripteridae,Blepsias,TRUE,FALSE,FALSE,279417,279417,125608,573213
Stichaeus punctatus,NA,Species,Actinopteri,Perciformes,Stichaeidae,Stichaeus,TRUE,FALSE,FALSE,159819,159819,72892,980344
Melamphaes lugubris,NA,Species,Actinopteri,Beryciformes,Melamphaidae,Melamphaes,TRUE,FALSE,FALSE,274932,274932,33946,319444
Lycodapus fierasfer,NA,Species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279389,279389,33962,433411
Rhamphocottus richardsonii,NA,Species,Actinopteri,Perciformes,Rhamphocottidae,Rhamphocottus,TRUE,FALSE,FALSE,282578,282578,125517,283636
Eumicrotremus orbis,NA,Species,Actinopteri,Perciformes,Cyclopteridae,Eumicrotremus,TRUE,FALSE,FALSE,254535,254535,140428,433392
Chilara taylori,NA,Species,Actinopteri,Ophidiiformes,Ophidiidae,Chilara,TRUE,TRUE,FALSE,280146,280146,82766,274688
