verbatim_species,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,region
Mycteroperca xenarcha,Mycteroperca xenarcha,accepted,Mycteroperca xenarcha,NA,species,Actinopteri,Perciformes,Serranidae,Mycteroperca,TRUE,TRUE,FALSE,273886,273886,125534,320403,California Current
Syngnathus euchrous,Syngnathus euchrous,accepted,Syngnathus euchrous,NA,species,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,TRUE,FALSE,FALSE,275222,275222,NA,NA,California Current
Lycodapus parviceps,Lycodapus parviceps,accepted,Lycodapus parviceps,NA,species,Actinopteri,Perciformes,Zoarcidae,Lycodapus,TRUE,FALSE,FALSE,279393,279393,NA,1772030,California Current
Achirus mazatlanus,Achirus mazatlanus,accepted,Achirus mazatlanus,NA,species,Actinopteri,Pleuronectiformes,Achiridae,Achirus,TRUE,TRUE,TRUE,279494,279494,373335,NA,California Current
Johnrandallia nigrirostris,Johnrandallia nigrirostris,accepted,Johnrandallia nigrirostris,NA,species,Actinopteri,Acanthuriformes,Chaetodontidae,Johnrandallia,TRUE,FALSE,FALSE,281202,281202,18583,466148,California Current
Lampanyctus bristori,Lampanyctus bristori,accepted,Lampanyctus bristori,NA,species,Actinopteri,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,1525474,1525474,NA,NA,California Current
Sufflamen verres,Sufflamen verres,accepted,Sufflamen verres,NA,species,Actinopteri,Tetraodontiformes,Balistidae,Sufflamen,TRUE,FALSE,FALSE,276853,276853,11000,882189,California Current
Alphestes immaculatus,Alphestes immaculatus,accepted,Alphestes immaculatus,NA,species,Actinopteri,Perciformes,Serranidae,Alphestes,TRUE,FALSE,FALSE,279568,279568,33845,160542,California Current
Typhlogobius californiensis,Typhlogobius californiensis,accepted,Typhlogobius californiensis,NA,species,Actinopteri,Gobiiformes,Gobiidae,Typhlogobius,TRUE,FALSE,FALSE,283075,283075,53792,166768,California Current
Zapteryx exasperata,Zapteryx exasperata,accepted,Zapteryx exasperata,NA,species,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Zapteryx,TRUE,FALSE,FALSE,283213,283213,179854,540279,California Current
Liparis liparis,Liparis liparis,accepted,Liparis liparis,NA,species,Actinopteri,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,127219,127219,387973,446792,California Current
Cyclothone braueri,Cyclothone braueri,accepted,Cyclothone braueri,NA,species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127284,127284,59441,48444,California Current
Symphurus fasciolaris,Symphurus fasciolaris,accepted,Symphurus fasciolaris,NA,species,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,TRUE,TRUE,FALSE,274242,274242,299694,2039247,California Current
Lophiodes caulinaris,Lophiodes caulinaris,accepted,Lophiodes caulinaris,NA,species,Actinopteri,Lophiiformes,Lophiidae,Lophiodes,TRUE,FALSE,FALSE,278525,278525,125466,314249,California Current
Clidoderma asperrimum,Clidoderma asperrimum,accepted,Clidoderma asperrimum,NA,species,Actinopteri,Pleuronectiformes,Pleuronectidae,Clidoderma,TRUE,FALSE,FALSE,280216,280216,125505,255560,California Current
Haemulopsis nitidus,Haemulopsis nitidus,accepted,Haemulopsis nitidus,NA,species,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulopsis,TRUE,FALSE,FALSE,280976,280976,59267,1010790,California Current
Lythrypnus pulchellus,Lythrypnus pulchellus,accepted,Lythrypnus pulchellus,NA,species,Actinopteri,Gobiiformes,Gobiidae,Lythrypnus,TRUE,FALSE,FALSE,281468,281468,NA,1193721,California Current
Radulinus vinculus,Radulinus vinculus,accepted,Radulinus vinculus,NA,species,Actinopteri,Perciformes,Cottidae,Radulinus,TRUE,FALSE,FALSE,282544,282544,NA,NA,California Current
Thunnus albacares,Thunnus albacares,accepted,Thunnus albacares,NA,species,Actinopteri,Scombriformes,Scombridae,Thunnus,TRUE,TRUE,FALSE,127027,127027,20668,8236,California Current
Cyclothone alba,Cyclothone alba,accepted,Cyclothone alba,NA,species,Actinopteri,Stomiiformes,Gonostomatidae,Cyclothone,TRUE,FALSE,FALSE,127283,127283,359542,48442,California Current
