"","accepted_name","verbatim_species","taxonomic_status","species","subspecies","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","region","fishbase_name"
"3210","Abudefduf declivifrons","Abudefduf declivifrons","accepted","Abudefduf declivifrons",NA,"species","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Abudefduf",TRUE,FALSE,FALSE,273698,36215,"Southern California Bight","Abudefduf declivifrons"
"3211","Pachycara lepinium","Pachycara lepinium","accepted","Pachycara lepinium",NA,"species","Actinopteri","Perciformes","Zoarcidae","Pachycara",TRUE,FALSE,FALSE,274141,557356,"Southern California Bight","Pachycara lepinium"
"3212","Careproctus ovigerus","Careproctus ovigerus","accepted","Careproctus ovigerus",NA,"species","Actinopteri","Perciformes","Liparidae","Careproctus",TRUE,FALSE,FALSE,274454,NA,"Southern California Bight","Careproctus ovigerus"
"3213","Scorpaena mystes","Scorpaena mystes","accepted","Scorpaena mystes",NA,"species","Actinopteri","Perciformes","Scorpaenidae","Scorpaena",TRUE,FALSE,FALSE,274726,874434,"Southern California Bight","Scorpaena mystes"
"3214","Sebastes rufinanus","Sebastes rufinanus","accepted","Sebastes rufinanus",NA,"species","Actinopteri","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274846,394705,"Southern California Bight","Sebastes rufinanus"
"3215","Syngnathus californiensis","Syngnathus leptorhynchus","junior subjective synonym","Syngnathus leptorhynchus",NA,"species","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",TRUE,TRUE,FALSE,275226,161587,"Southern California Bight","Syngnathus californiensis"
"3216","Enophrys bison","Enophrys bison","accepted","Enophrys bison",NA,"species","Actinopteri","Perciformes","Cottidae","Enophrys",TRUE,FALSE,FALSE,275355,320617,"Southern California Bight","Enophrys bison"
"3217","Opisthonema medirastre","Opisthonema medirastre","accepted","Opisthonema medirastre",NA,"species","Actinopteri","Clupeiformes","Clupeidae","Opisthonema",TRUE,FALSE,FALSE,275505,681939,"Southern California Bight","Opisthonema medirastre"
"3218","Citharichthys platophrys","Citharichthys platophrys","accepted","Citharichthys platophrys",NA,"species","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys",TRUE,FALSE,FALSE,275693,1231347,"Southern California Bight","Citharichthys platophrys"
"3219","Etropus peruvianus","Etropus peruvianus","accepted","Etropus peruvianus",NA,"species","Actinopteri","Pleuronectiformes","Paralichthyidae","Etropus",TRUE,FALSE,FALSE,275709,NA,"Southern California Bight","Etropus peruvianus"
