found_taxa,accepted_name_usage,taxonomic_status,species,subspecies,taxon_rank,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,speciesid,taxon_id,bold_id,ncbi_id,genusid
Biflustra grandicella,Biflustra grandicella,accepted,Biflustra grandicella,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Biflustra,TRUE,FALSE,FALSE,396709,396709,NA,NA,240919
Cochliolepis parasitica,Cochliolepis parasitica,accepted,Cochliolepis parasitica,NA,species,Mollusca,Gastropoda,Littorinimorpha,Tornidae,Cochliolepis,TRUE,FALSE,FALSE,419654,419654,NA,NA,196981
Pedicularia decussata,Pedicularia decussata,accepted,Pedicularia decussata,NA,species,Mollusca,Gastropoda,Littorinimorpha,Pediculariidae,Pedicularia,TRUE,NA,NA,419735,419735,NA,NA,138304
Epitonium occidentale,Epitonium occidentale,accepted,Epitonium occidentale,NA,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,TRUE,NA,NA,419813,419813,NA,NA,137943
Conus regius,Conus regius,accepted,Conus regius,NA,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,TRUE,NA,NA,420220,420220,507537,NA,137813
Globivenus listeroides,Globivenus listeroides,accepted,Globivenus listeroides,NA,species,Mollusca,Bivalvia,Venerida,Veneridae,Globivenus,TRUE,NA,NA,420936,420936,NA,NA,138638
Peristichia lepta,Peristichia lepta,accepted,Peristichia lepta,NA,species,Mollusca,Gastropoda,NA,Pyramidellidae,Peristichia,TRUE,NA,NA,458148,458148,NA,NA,415795
Deosergestes paraseminudus,Deosergestes paraseminudus,accepted,Deosergestes paraseminudus,NA,species,Arthropoda,Malacostraca,Decapoda,Sergestidae,Deosergestes,TRUE,FALSE,FALSE,514123,514123,NA,NA,513957
Trematooecia rotunda,Trematooecia rotunda,accepted,Trematooecia rotunda,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Colatooeciidae,Trematooecia,TRUE,FALSE,FALSE,818030,818030,NA,NA,146856
Fodinella atlantica,Fodinella atlantica,accepted,Fodinella atlantica,NA,species,Bryozoa,Gymnolaemata,Cheilostomatida,Phidoloporidae,Fodinella,TRUE,FALSE,FALSE,827632,827632,NA,NA,468686
Omalacantha antillensis,Omalacantha antillensis,accepted,Omalacantha antillensis,NA,species,Arthropoda,Malacostraca,Decapoda,Mithracidae,Omalacantha,TRUE,FALSE,FALSE,878752,878752,NA,1416561,450194
