found_taxa,worms_name,verbatim_name,gbif_name,ncbi_name,ncbi_commonname,gbif_usagekey,ncbi_uid,gbif_status,worms_aphiaid,worms_status,freshwater_only,kingdom,phylum,class,order,family,genus
Oncorhynchus clarkii henshawi,NA,Oncorhynchus clarkii henshawi,Oncorhynchus clarkii henshawi,Oncorhynchus clarkii henshawi,Lahontan cutthroat trout,5711984,72053,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus mykiss gairdneri,NA,Oncorhynchus mykiss gairdneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus mykiss newberrii,NA,Oncorhynchus mykiss newberrii,NA,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus kawamurae,Oncorhynchus kawamurae,Oncorhynchus kawamurae,Oncorhynchus kawamurae,Oncorhynchus kawamurae,kunimasu,5961610,1278982,accepted,1016304,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Brachymystax lenok,Brachymystax lenok,Brachymystax lenok,Brachymystax lenok,Brachymystax lenok,lenok trout,2351356,62067,accepted,1026966,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Brachymystax
Salvelinus fontinalis x Salvelinus malma,NA,Salvelinus fontinalis x Salvelinus malma,Salvelinus fontinalis x Salvelinus malma,Salvelinus fontinalis x Salvelinus malma,,11549587,2557536,accepted,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,brook trout,2351271,8038,accepted,154241,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus
Oncorhynchus clarkii lewisi,NA,Oncorhynchus clarkii lewisi,Oncorhynchus clarkii lewisi,Oncorhynchus clarkii lewisi,westslope cutthroat trout,5711983,490388,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,rainbow trout,5204019,8022,accepted,127185,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus clarkii,Oncorhynchus clarkii,Oncorhynchus clarkii,Oncorhynchus clarkii,Oncorhynchus clarkii,cutthroat trout,5711980,30962,accepted,274347,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,pink salmon,5204037,8017,accepted,127182,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus mykiss irideus,NA,Oncorhynchus mykiss irideus,Oncorhynchus mykiss irideus,Oncorhynchus mykiss irideus,,5711995,857569,accepted,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus apache,Oncorhynchus apache,Oncorhynchus gilae apache,Oncorhynchus gilae apache,Oncorhynchus gilae apache,Apache trout,5204013,209197,synonym,1013114,unaccepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus gilae,Oncorhynchus gilae,Oncorhynchus gilae,Oncorhynchus gilae,Oncorhynchus gilae,Gila trout,5204032,64185,accepted,1014244,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Hucho taimen,Hucho taimen,Hucho taimen,Hucho taimen,Hucho taimen,taimen,2351408,201498,accepted,1026969,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Hucho
Hucho hucho,Hucho hucho,Hucho hucho,Hucho hucho,Hucho hucho,huchen,2351413,62062,accepted,1023062,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Hucho
Hucho bleekeri,Hucho bleekeri,Hucho bleekeri,Hucho bleekeri,Hucho bleekeri,Sichuan taimen,2351401,633558,accepted,1015477,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Hucho
Oncorhynchus clarkii stomias,NA,Oncorhynchus clarkii stomias,Oncorhynchus clarkii stomias,Oncorhynchus clarkii stomias,greenback cutthroat trout,5711988,453929,accepted,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus mykiss x Salmo salar,NA,Oncorhynchus mykiss x Salmo salar,Oncorhynchus mykiss x Salmo salar,Oncorhynchus mykiss x Salmo salar,,11648088,1610699,accepted,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus keta,Oncorhynchus keta,Oncorhynchus keta,Oncorhynchus keta,Oncorhynchus keta,chum salmon,5204014,8018,accepted,127183,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Brachymystax tumensis,Brachymystax tumensis,Brachymystax tumensis,Brachymystax tumensis,Brachymystax tumensis,,2351355,1302316,accepted,1015851,accepted,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Brachymystax
Oncorhynchus kisutch,Oncorhynchus kisutch,Oncorhynchus kisutch,Oncorhynchus kisutch,Oncorhynchus kisutch,coho salmon,5204034,8019,accepted,127184,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus clarkii virginalis,NA,Oncorhynchus clarkii virginalis,Oncorhynchus clarkii virginalis,Oncorhynchus clarkii virginalis,Rio Grande cutthroat trout,5711985,335690,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus masou,Oncorhynchus masou,Oncorhynchus masou 'Biwa',Oncorhynchus masou,Oncorhynchus masou 'Biwa',,5711979,412663,accepted,293637,accepted,0,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus masou masou,NA,Oncorhynchus masou masou,Oncorhynchus masou masou,Oncorhynchus masou masou,cherry salmon,7059127,90313,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
Oncorhynchus masou ishikawae,NA,Oncorhynchus masou ishikawae,Oncorhynchus masou ishikawae,Oncorhynchus masou ishikawae,Ishikawa's cherry salmon,5722951,8021,synonym,NA,NA,NA,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus
